,FIPS,Unemployment_rate_2018
558,13317,4.6
559,13319,4.4
560,13321,4.4
561,15000,2.5
562,15001,3.0
563,15003,2.4
564,15007,2.5
565,15009,2.4
566,16000,2.9
567,16001,2.5
568,16003,5.5
569,16005,2.8
570,16007,2.9
571,16009,4.7
572,16011,2.8
573,16013,2.4
574,16015,4.3
575,16017,4.2
576,16019,2.5
577,16021,4.5
578,16023,3.3
579,16025,2.3
580,16027,3.2
581,16029,2.8
582,16031,2.3
583,16033,2.9
584,16035,6.9
585,16037,4.2
586,16039,3.3
587,16041,2.2
588,16043,2.5
589,16045,3.5
590,16047,2.4
591,16049,4.7
592,16051,2.3
593,16053,2.6
594,16055,3.6
595,16057,2.5
596,16059,4.5
597,16061,5.7
598,16063,3.5
599,16065,1.8
600,16067,2.5
601,16069,2.8
602,16071,2.2
603,16073,3.7
604,16075,3.7
605,16077,3.0
606,16079,5.9
607,16081,2.3
608,16083,2.7
609,16085,3.8
610,16087,4.2
611,17000,4.3
612,17001,3.8
613,17003,8.0
614,17005,4.3
615,17007,5.6
616,17009,2.6
617,17011,4.9
618,17013,5.2
619,17015,4.4
620,17017,4.4
621,17019,4.2
622,17021,5.1
623,17023,5.1
624,17025,5.1
625,17027,3.5
626,17029,4.6
627,17031,4.1
628,17033,5.2
629,17035,3.9
630,17037,4.3
631,17039,5.0
632,17041,4.0
633,17043,3.2
634,17045,4.6
635,17047,4.4
636,17049,3.7
637,17051,5.1
638,17053,4.6
639,17055,6.1
640,17057,6.1
641,17059,5.6
642,17061,4.8
643,17063,4.8
644,17065,4.3
645,17067,4.6
646,17069,7.6
647,17071,4.9
648,17073,4.9
649,17075,4.3
650,17077,4.5
651,17079,4.9
652,17081,5.2
653,17083,4.8
654,17085,4.3
655,17087,7.4
656,17089,4.8
657,17091,5.4
658,17093,3.6
659,17095,5.2
660,17097,4.4
661,17099,5.7
662,17101,5.7
663,17103,4.3
664,17105,4.3
665,17107,4.6
666,17109,4.9
667,17111,3.6
668,17113,4.1
669,17115,5.5
670,17117,4.8
671,17119,4.4
672,17121,4.8
673,17123,5.1
674,17125,5.8
675,17127,6.9
676,17129,4.0
677,17131,5.1
678,17133,3.4
679,17135,5.8
680,17137,4.3
681,17139,3.8
682,17141,4.9
683,17143,5.5
684,17145,5.8
685,17147,4.1
686,17149,4.7
687,17151,5.8
688,17153,7.9
689,17155,5.2
690,17157,4.3
691,17159,4.6
692,17161,5.1
693,17163,5.0
694,17165,6.4
695,17167,4.3
696,17169,4.3
697,17171,5.1
698,17173,4.2
699,17175,6.1
700,17177,4.6
701,17179,4.8
702,17181,6.3
703,17183,6.0
704,17185,4.5
705,17187,4.1
706,17189,2.9
707,17191,5.5
708,17193,4.1
709,17195,4.4
710,17197,4.1
711,17199,5.0
712,17201,5.6
713,17203,4.0
714,18000,3.5
715,18001,2.6
