county_code,income,loan_amount
2060.0,59.0,210000.0
2068.0,51.0,255000.0
2070.0,65.0,225000.0
2090.0,60.0,205000.0
2100.0,35.0,165000.0
2105.0,38.0,185000.0
2110.0,67.0,275000.0
2122.0,50.0,185000.0
2130.0,61.0,245000.0
2150.0,69.0,305000.0
2158.0,51.0,185000.0
2164.0,66.0,135000.0
2170.0,55.0,205000.0
2180.0,66.0,235000.0
2185.0,62.0,115000.0
2188.0,69.0,250000.0
2195.0,67.0,245000.0
2198.0,52.0,145000.0
2220.0,70.5,370000.0
2230.0,64.0,215000.0
2240.0,61.5,245000.0
2261.0,61.0,195000.0
2275.0,72.0,225000.0
2282.0,110.0,275000.0
2290.0,114.0,115000.0
4001.0,37.0,115000.0
4003.0,39.0,115000.0
4005.0,60.0,245000.0
4007.0,43.0,145000.0
4009.0,43.0,135000.0
4011.0,44.0,125000.0
4012.0,41.5,145000.0
4013.0,50.0,205000.0
4015.0,40.0,135000.0
4017.0,45.0,145000.0
4019.0,44.0,155000.0
4021.0,44.0,175000.0
4023.0,36.0,125000.0
4025.0,46.0,185000.0
4027.0,36.0,125000.0
5001.0,32.0,85000.0
5003.0,37.5,60000.0
5005.0,33.0,95000.0
5007.0,47.0,155000.0
5009.0,31.0,85000.0
5011.0,24.5,60000.0
5013.0,48.0,70000.0
5015.0,36.0,115000.0
5017.0,36.5,65000.0
5019.0,41.5,95000.0
5021.0,31.0,65000.0
5023.0,36.0,95000.0
5025.0,41.0,70000.0
5027.0,48.0,85000.0
5029.0,33.0,85000.0
5031.0,40.0,125000.0
5033.0,35.0,95000.0
5035.0,36.0,105000.0
5037.0,36.0,90000.0
5039.0,32.0,105000.0
5041.0,27.0,75000.0
5043.0,38.0,85000.0
5045.0,41.0,130000.0
5047.0,33.0,85000.0
5049.0,33.0,85000.0
5051.0,37.0,105000.0
5053.0,39.0,115000.0
5055.0,36.0,105000.0
5057.0,30.0,65000.0
5059.0,32.0,85000.0
5061.0,42.0,85000.0
5063.0,35.0,85000.0
5065.0,33.0,75000.0
5067.0,30.0,65000.0
5069.0,36.0,85000.0
5071.0,31.0,85000.0
5073.0,30.5,95000.0
5075.0,29.0,65000.0
5077.0,18.5,55000.0
5079.0,34.5,75000.0
5081.0,35.5,65000.0
5083.0,34.0,85000.0
5085.0,41.0,125000.0
5087.0,33.0,105000.0
5089.0,32.0,85000.0
5091.0,37.0,95000.0
5093.0,36.0,75000.0
5095.0,32.0,55000.0
5097.0,41.0,75000.0
5099.0,34.0,55000.0
5101.0,38.0,85000.0
5103.0,32.0,75000.0
5105.0,33.0,65000.0
5107.0,33.0,75000.0
5109.0,32.5,80000.0
5111.0,31.0,75000.0
5113.0,28.0,85000.0
5115.0,35.0,105000.0
5117.0,37.5,85000.0
5119.0,42.0,125000.0
5121.0,34.0,85000.0
5123.0,34.0,75000.0
5125.0,44.0,135000.0
5127.0,30.0,75000.0
5129.0,29.0,85000.0
5131.0,35.0,95000.0
5133.0,32.0,45000.0
5135.0,27.5,65000.0
5137.0,41.0,95000.0
5139.0,37.0,85000.0
5141.0,31.0,75000.0
5143.0,43.0,145000.0
5145.0,35.0,95000.0
5147.0,28.5,80000.0
